Client,Module,Date,Environment,Feature,Scenario,RepopStatus,Status,RerunStatus,RerunStatusViaUI,ConsolidatedStatus,Exception,RetryException,ExceptionHelp,FirstRunStartTime,FirstRunEndTime,Duration,DealName,DealID,UniqueTag,RequestID,FeatureFilePath,FilePairPath,GeneratedFile,EpicTicket,ScenarioTicket,FXDRCRRowFailure,BASE_FX,BASE_DR,BASE_CR,BASE_ROWS,GEN_FX,GEN_DR,GEN_CR,GEN_ROWS
SilverGregorianAOP,"Core","04-30-2023","uat","End Of Term Activity","Verify End Of Term Activity for accuracy for SilverGregorianAOP client,LA-9089-Cap-OP-*","--","TEST IN QUEUE","NA","NA","null","--","null","NA","2023-04-30 00:00:00","2023-04-30 00:00:00","0","null","--","@TC6602_CORE_P4_EOTActivity_AOP_LA-9089-Cap-OP-","--","--","null","null","AUTO-6903","AUTO-7105","null","null","null","null","null","null","null","null","null",
SilverGregorian,"Core","04-30-2023","uat","Verification for the deal that was retired once and attempts to retire the deal again via Event Import","Verify if user is able to retire the deal that was previously retired from the Event import tab on Bulk import screen","Fail","Failed","Failed","NA","Failed","Timed out after 5 seconds. Unable to locate the element","Timed out after 5 seconds. Unable to locate the element","timed out after 5 seconds. unable to locate the element","2023-04-30 23:39:34","2023-04-30 23:40:22","48","--","--","@TC4631_DealRetiredVerificationViaEventImport","79953","features/Core/SilverGregorian/DealRetiredVerificationViaEventImport.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC5080_DealModifyAutoReclassify","--","AUTO-3116","AUTO-3922","NA","NA","NA","NA","NA","NA","NA","NA","NA",
GoldGregorian,"Core","04-30-2023","uat","goldgregorian-accounting-regression-tests-(reg073-to-reg075)","For deal REG073_G and client Goldgregorian repop and validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:09:15","2023-04-30 17:13:16","240","REG073_G","567344","@TC240_REG073_G","137074","features/Core/GoldGregorian/REGScenarios/GoldGregorian_REG073,REG074,REG075.feature","--","--","78122","86129","N","22263116.000","1125531.295","1125531.295","509.000","22263116.000","1125531.295","1125531.295","509.000",
GoldGregorianMEC,"Core","04-30-2023","uat","goldgregorianmec-accounting-regression-tests-(reg524)","For deal REG-524_V2_GMQ and client GoldGregorianMEC repop and validate LE","Pass","Failed","Failed","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","Invalid file LeaseAccRouter generated instead of required report","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-05-01 00:02:08","2023-05-01 00:05:25","197","REG-524_V2_GMQ","569386","@TC937_REG-524_V2_GMQ","100149","features/Core/GoldGregorianMEC/REGScenarios/GoldGregorianMEC_REG524.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC750_GoldRecordAssetEventReport_Op","--","AUTO-992","AUTO-1431","Y","5970396.000","10608.871","10608.871","148.000","29207520.000","125414.976","125414.976","728.000",
GoldGregorianMEC,"Core","04-30-2023","uat","goldgregorianmec-regression-gold-accounting-tests-(reg182,reg193,reg341)","For deal REG341_G and client GoldGregorianMEC repop and Validate LE","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 16:04:56","2023-04-30 16:08:12","195","REG341_G","567710","@TC438_REG341_G","99508","features/Core/GoldGregorianMEC/REGScenarios/GoldGregorianMEC_REG339,REG341,REG343.feature","--","--","AUTO-73","AUTO-1271","Y","98218136.000","930298.108","930298.108","2257.000","70455683.000","922076.751","922076.751","1618.000",
SilverGregorian,"Core","04-30-2023","uat","Verify if Ledger Date is out of the configured Fiscal Calender then system gives an error","Upload a PIW with Ledger Date out of the configured fiscal calender","NA","Failed","Failed","NA","Failed","Status is not matching in Bulk import page. expected [true] but found [false]","Status is not matching in Bulk import page. expected [true] but found [false]","Actual value has deviation when compared with the Expected value. Rerun to confirm the failure and Create an exception for the deviation.","2023-04-30 23:12:32","2023-04-30 23:15:04","151","--","--","@TC3874_LedgerDateOutOfFiscalCalDate","100054","features/Core/SilverGregorian/ImportDealWithLedgerDateOutOfFiscalCalendar.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC3874_LedgerDateOutOfFiscalCalDate","--","AUTO-1061","AUTO-2011","Y","611250.000","259404.995","259404.995","14.000","611250.000","259405.005","259405.005","14.000",
SilverGregorianSOD,"Core","04-30-2023","uat","Accounting RollForward FX Report","For deal LA8244-FXRemeasure_HVTC3_InterimRent_A_M, client SilverGregorianSOD and ledger IFRS 16 Ledger- qdo1 repop and validate AccRollForward FX Report","Pass","Failed","NA","NA","Failed","null","--","Observed Null pointer Exception during Execution.Verify the Automation script.For aasistance, Please Contact Automation Team.","2023-04-30 17:18:55","2023-04-30 17:25:42","406","LA8244-FXRemeasure_HVTC3_InterimRent_A_M","72044","@TC5587_AccRollForwardFX_LA8244-FXRemeasure_HVTC3_InterimRent_A_-IFRS16","137074","features/Core/SilverGregorianSoD/AccRollForwardFXReport.feature","--","--","AUTO-3116","AUTO-5476","N","22263116.000","1125531.295","1125531.295","509.000","22263116.000","1125531.295","1125531.295","509.000",
Gold,"Core","04-30-2023","uat","generating-report-le-working-with--a-specific-deal","For deal Working Fin-3A ledger and client gold repop and Validate LE for ASC 842 Ledger","Pass","Failed","NA","NA","Failed","Difference in total number of Rows from baseline :  Expected [957] found [758] on sheet: Ledger Entries","Rerun did not happen due to Base File failure scenario","Mismatch observed in generated file when compared to basefile.Please verify the output by comparing the Generated file to the Basefile.","2023-04-30 19:07:07","2023-04-30 19:08:37","90","--","--","@TC729_GoldGenerateLEWorkingFin-3A_ASC842","60394","features/Core/Gold/LedgerExportReportWorkingFinDeals.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/Gold/@TC729_GoldGenerateLEWorkingFin-3A_ASC842/","TC729_LedgerExport-GAuto25-60394.xlsx","","","Y","38852318.000","183251.525","183251.525","956.000","30869561.000","181098.321","181098.321","757.000",
SilverGregorian,"Core","04-30-2023","uat","import-payment-adj","Verify the Import of a Payment Adjustment PIW for an existing deal","NA","Failed","Failed","NA","Failed","Timed out after 5 seconds. Unable to locate the element","Timed out after 5 seconds. Unable to locate the element","timed out after 5 seconds. unable to locate the element","2023-04-30 22:51:26","2023-04-30 22:53:18","112","--","--","@TC221_SGPaymentAdjustmentViaPIWSmokeTest","90598","features/Core/SilverGregorian/PaymentAdjustmentViaPIW.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC221_SGPaymentAdjustmentViaPIWSmokeTest","--","","","N","88769732.000","2191953.208","2191953.208","2008.000","88769732.000","2191953.208","2191953.208","2008.000",
SilverGregorianAOP,"Core","04-30-2023","uat","verify if user is able to generate le for la6541_fin_lsd_m_sd_crr_crr under ifrs 16 ledger qdo1","For deal LA6541_FIN_LSD_M_SD_CRR_CRR and client SilverGregorianAOP repop and validate LE for Ledger IFRS 16 Ledger qdo1","Pass","Failed","NA","NA","Failed","Invalid file LeaseAccRouter generated instead of required report","--","The application is generating LeaseAccRouter file instead of required files(xlsx, xls, csv).Please verify if reporting engine is up and running If reporting engine up and running, please rerun the tests using Unique tag.","2023-04-30 17:38:46","2023-04-30 17:43:17","270","LA6541_FIN_LSD_M_SD_CRR_CRR","59348","@TC4699_LA6541_FIN_LSD","79337","features/Core/SilverGregorianAOP/LA6541_FIN_LSD_M_SD_CRR_CRR.feature","uat/Autobots_UAT_AutomatedTests/builds/294/htmlreports/LiveDashboard/TestData/PIW/@TC3874_LedgerDateOutOfFiscalCalDate","--","AUTO-1061","AUTO-4085","NA","NA","NA","NA","NA","NA","NA","NA","NA",
